rank,title,year,topic_cluster,problem_claimed,mechanism_introduced,hidden_assumptions,variables_fixed,failure_modes_ignored,what_makes_less_novel,what_leaves_open,url
52,"Language, Camera, Autonomy! Prompt-engineered Robot Control for Rapidly Evolving Deployment",2024,language-conditioned robot grounding,Ground natural-language task descriptions in feasible robot behavior.,"Language-conditioned policy, skill selector, prompt-conditioned controller, or affordance scoring.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes language-to-skill grounding and prompt-conditioned robot manipulation prior art.,Whether the grounded language interface hides control-equivalent but physically divergent commands.,https://doi.org/10.1145/3610978.3640671
53,Multimodal Human–Robot Interaction for Human‐Centric Smart Manufacturing: A Survey,2023,language-conditioned robot grounding,Ground natural-language task descriptions in feasible robot behavior.,"Language-conditioned policy, skill selector, prompt-conditioned controller, or affordance scoring.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes language-to-skill grounding and prompt-conditioned robot manipulation prior art.,Whether the grounded language interface hides control-equivalent but physically divergent commands.,https://doi.org/10.1002/aisy.202300359
54,AnyPos: Automated Task-Agnostic Actions for Bimanual Manipulation,2025,robot foundation model scaling,"Build generalist robot policies that transfer across tasks, scenes, and embodiments.",Large-scale pretrained transformer or multimodal policy trained on heterogeneous robot data.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes broad robot-data scaling and generalist policy training prior art.,How action-space mismatch and many-to-one tokenization change the learned physical semantics.,https://arxiv.org/abs/2507.12768
55,Zero-Shot Robotic Manipulation with Pretrained Image-Editing Diffusion Models,2023,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,http://arxiv.org/abs/2310.10639
56,MoManipVLA: Transferring Vision-language-action Models for General Mobile Manipulation,2025,vision-language-action robot foundation models,Scale robot control by reusing vision-language representations for language-conditioned manipulation.,Tokenized or transformer-conditioned policy maps multimodal context to robot action outputs.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Shows that large pretrained multimodal backbones can be adapted to robot action prediction.,Whether semantically similar tokens preserve distinctions between physically different motor commands.,https://doi.org/10.1109/cvpr52734.2025.00167
57,RoboMamba: Efficient Vision-Language-Action Model for Robotic Reasoning and Manipulation,2024,vision-language-action robot foundation models,Scale robot control by reusing vision-language representations for language-conditioned manipulation.,Tokenized or transformer-conditioned policy maps multimodal context to robot action outputs.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Shows that large pretrained multimodal backbones can be adapted to robot action prediction.,Whether semantically similar tokens preserve distinctions between physically different motor commands.,http://arxiv.org/abs/2406.04339
58,Learning Variable Compliance Control From a Few Demonstrations for Bimanual Robot with Haptic Feedback Teleoperation System,2024,robot reinforcement learning,"Improve embodied-agent perception, learning, control, or physical reasoning.","Task-specific representation, policy, dataset, benchmark, or planning method.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Contributes background methods that constrain claims about general embodied intelligence.,Whether the method treats motor-command identity as preserved through learned representations.,https://doi.org/10.1109/iros58592.2024.10801731
59,CogACT: A Foundational Vision-Language-Action Model for Synergizing Cognition and Action in Robotic Manipulation,2024,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,http://arxiv.org/abs/2411.19650
60,Fine-Tuning Vision-Language-Action Models: Optimizing Speed and Success,2025,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,https://doi.org/10.15607/rss.2025.xxi.017
61,Hierarchical Diffusion Policy: Manipulation Trajectory Generation via Contact Guidance,2025,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,https://doi.org/10.1109/tro.2025.3547272
62,Vision-Language-Action Models for Robotics: A Review Towards Real-World Applications,2025,vision-language-action robot foundation models,Scale robot control by reusing vision-language representations for language-conditioned manipulation.,Tokenized or transformer-conditioned policy maps multimodal context to robot action outputs.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Shows that large pretrained multimodal backbones can be adapted to robot action prediction.,Whether semantically similar tokens preserve distinctions between physically different motor commands.,https://doi.org/10.1109/access.2025.3609980
63,CLIP-RT: Learning Language-Conditioned Robotic Policies from Natural Language Supervision,2025,vision-language-action robot foundation models,Scale robot control by reusing vision-language representations for language-conditioned manipulation.,Tokenized or transformer-conditioned policy maps multimodal context to robot action outputs.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Shows that large pretrained multimodal backbones can be adapted to robot action prediction.,Whether semantically similar tokens preserve distinctions between physically different motor commands.,https://doi.org/10.15607/rss.2025.xxi.016
64,ProgVLA: Progress-Aware Robot Manipulation Skill Learning,2026,vision-language-action robot foundation models,Scale robot control by reusing vision-language representations for language-conditioned manipulation.,Tokenized or transformer-conditioned policy maps multimodal context to robot action outputs.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Shows that large pretrained multimodal backbones can be adapted to robot action prediction.,Whether semantically similar tokens preserve distinctions between physically different motor commands.,https://arxiv.org/abs/2605.28231
65,Towards learning hierarchical skills for multi-phase manipulation tasks,2015,robot reinforcement learning,"Improve embodied-agent perception, learning, control, or physical reasoning.","Task-specific representation, policy, dataset, benchmark, or planning method.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Contributes background methods that constrain claims about general embodied intelligence.,Whether the method treats motor-command identity as preserved through learned representations.,https://doi.org/10.1109/icra.2015.7139389
66,Language-Conditioned Imitation Learning for Robot Manipulation Tasks,2020,language-conditioned robot grounding,Ground natural-language task descriptions in feasible robot behavior.,"Language-conditioned policy, skill selector, prompt-conditioned controller, or affordance scoring.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes language-to-skill grounding and prompt-conditioned robot manipulation prior art.,Whether the grounded language interface hides control-equivalent but physically divergent commands.,https://papers.nips.cc/paper/2020/file/9909794d52985cbc5d95c26e31125d1a-Paper.pdf
67,Cross-Embodiment Robot Manipulation Skill Transfer using Latent Space Alignment,2024,robot reinforcement learning,"Improve embodied-agent perception, learning, control, or physical reasoning.","Task-specific representation, policy, dataset, benchmark, or planning method.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Contributes background methods that constrain claims about general embodied intelligence.,Whether the method treats motor-command identity as preserved through learned representations.,http://arxiv.org/abs/2406.01968
68,PoCo: Policy Composition from and for Heterogeneous Robot Learning,2024,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them. Tactile/contact cues may expose aliases that vision-language tokens miss.,https://doi.org/10.15607/rss.2024.xx.127
69,Turning Video Models into Generalist Robot Policies,2026,robot foundation model scaling,"Build generalist robot policies that transfer across tasks, scenes, and embodiments.",Large-scale pretrained transformer or multimodal policy trained on heterogeneous robot data.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes broad robot-data scaling and generalist policy training prior art.,How action-space mismatch and many-to-one tokenization change the learned physical semantics.,https://arxiv.org/abs/2605.27817
70,Open X-Embodiment: Robotic Learning Datasets and RT-X Models : Open X-Embodiment Collaboration<sup>0</sup>,2024,robot foundation model scaling,"Build generalist robot policies that transfer across tasks, scenes, and embodiments.",Large-scale pretrained transformer or multimodal policy trained on heterogeneous robot data.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes broad robot-data scaling and generalist policy training prior art.,How action-space mismatch and many-to-one tokenization change the learned physical semantics.,https://doi.org/10.1109/icra57147.2024.10611477
71,Robot Control Stack: A Lean Ecosystem for Robot Learning at Scale,2025,vision-language-action robot foundation models,Scale robot control by reusing vision-language representations for language-conditioned manipulation.,Tokenized or transformer-conditioned policy maps multimodal context to robot action outputs.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Shows that large pretrained multimodal backbones can be adapted to robot action prediction.,Whether semantically similar tokens preserve distinctions between physically different motor commands.,http://arxiv.org/abs/2509.14932
72,Turning Video Models into Generalist Robot Policies,2026,robot foundation model scaling,"Build generalist robot policies that transfer across tasks, scenes, and embodiments.",Large-scale pretrained transformer or multimodal policy trained on heterogeneous robot data.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes broad robot-data scaling and generalist policy training prior art.,How action-space mismatch and many-to-one tokenization change the learned physical semantics.,https://doi.org/10.48550/arxiv.2605.27817
73,ChatGPT for Robotics: Design Principles and Model Abilities,2023,language-conditioned robot grounding,Ground natural-language task descriptions in feasible robot behavior.,"Language-conditioned policy, skill selector, prompt-conditioned controller, or affordance scoring.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes language-to-skill grounding and prompt-conditioned robot manipulation prior art.,Whether the grounded language interface hides control-equivalent but physically divergent commands.,http://arxiv.org/abs/2306.17582
74,Scaling Robot Learning with Semantically Imagined Experience,2023,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,https://doi.org/10.15607/rss.2023.xix.027
75,From LLMs to Actions: Latent Codes as Bridges in Hierarchical Robot Control,2024,language-conditioned robot grounding,Ground natural-language task descriptions in feasible robot behavior.,"Language-conditioned policy, skill selector, prompt-conditioned controller, or affordance scoring.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes language-to-skill grounding and prompt-conditioned robot manipulation prior art.,Whether the grounded language interface hides control-equivalent but physically divergent commands.,http://arxiv.org/abs/2405.04798
76,InternVLA-M1: A Spatially Guided Vision-Language-Action Framework for Generalist Robot Policy,2025,vision-language-action robot foundation models,Scale robot control by reusing vision-language representations for language-conditioned manipulation.,Tokenized or transformer-conditioned policy maps multimodal context to robot action outputs.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Shows that large pretrained multimodal backbones can be adapted to robot action prediction.,Whether semantically similar tokens preserve distinctions between physically different motor commands.,http://arxiv.org/abs/2510.13778
77,Augmenting Reinforcement Learning with Behavior Primitives for Diverse Manipulation Tasks,2022,robot reinforcement learning,"Improve embodied-agent perception, learning, control, or physical reasoning.","Task-specific representation, policy, dataset, benchmark, or planning method.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Contributes background methods that constrain claims about general embodied intelligence.,Whether the method treats motor-command identity as preserved through learned representations.,https://doi.org/10.1109/icra46639.2022.9812140
78,OK-Robot: What Really Matters in Integrating Open-Knowledge Models for Robotics,2024,language-conditioned robot grounding,Ground natural-language task descriptions in feasible robot behavior.,"Language-conditioned policy, skill selector, prompt-conditioned controller, or affordance scoring.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes language-to-skill grounding and prompt-conditioned robot manipulation prior art.,Whether the grounded language interface hides control-equivalent but physically divergent commands.,http://arxiv.org/abs/2401.12202
79,Robotic Skill Acquisition via Instruction Augmentation with Vision-Language Models,2023,language-conditioned robot grounding,Ground natural-language task descriptions in feasible robot behavior.,"Language-conditioned policy, skill selector, prompt-conditioned controller, or affordance scoring.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes language-to-skill grounding and prompt-conditioned robot manipulation prior art.,Whether the grounded language interface hides control-equivalent but physically divergent commands.,https://doi.org/10.15607/rss.2023.xix.029
80,"Integrating Large Language Models into Robotic Autonomy: A Review of Motion, Voice, and Training Pipelines",2025,language-conditioned robot grounding,Ground natural-language task descriptions in feasible robot behavior.,"Language-conditioned policy, skill selector, prompt-conditioned controller, or affordance scoring.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment. - Uncertainty estimates are calibrated after representation collapse.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes language-to-skill grounding and prompt-conditioned robot manipulation prior art.,Whether the grounded language interface hides control-equivalent but physically divergent commands.,https://doi.org/10.3390/ai6070158
81,Interactive Language: Talking to Robots in Real Time,2022,language-conditioned robot grounding,Ground natural-language task descriptions in feasible robot behavior.,"Language-conditioned policy, skill selector, prompt-conditioned controller, or affordance scoring.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes language-to-skill grounding and prompt-conditioned robot manipulation prior art.,Whether the grounded language interface hides control-equivalent but physically divergent commands.,http://arxiv.org/abs/2210.06407
82,ALPHA- α and Bi-ACT Are All You Need: Importance of Position and Force Information/ Control for Imitation Learning of Unimanual and Bimanual Robotic Manipulation With Low-Cost System,2025,robot reinforcement learning,"Improve embodied-agent perception, learning, control, or physical reasoning.","Task-specific representation, policy, dataset, benchmark, or planning method.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Contributes background methods that constrain claims about general embodied intelligence.,Whether the method treats motor-command identity as preserved through learned representations.,https://doi.org/10.1109/access.2025.3541200
83,PolyTouch: A Robust Multi-Modal Tactile Sensor for Contact-Rich Manipulation Using Tactile-Diffusion Policies,2025,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them. Tactile/contact cues may expose aliases that vision-language tokens miss.,https://doi.org/10.1109/icra55743.2025.11128816
84,Augmented Reality for RObots (ARRO): Pointing Visuomotor Policies Towards Visual Robustness,2026,diffusion visuomotor policies,Model multimodal continuous action distributions for dexterous or contact-rich robot manipulation.,Conditional denoising or flow model generates action sequences from visual state.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Makes sequence-level continuous action generation and multimodal action distributions well established.,How representation bottlenecks upstream of the generator collapse distinct controls before diffusion can recover them.,https://doi.org/10.1109/lra.2026.3665444
85,CLIP-RT: Learning Language-Conditioned Robotic Policies from Natural Language Supervision,2024,vision-language-action robot foundation models,Scale robot control by reusing vision-language representations for language-conditioned manipulation.,Tokenized or transformer-conditioned policy maps multimodal context to robot action outputs.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Shows that large pretrained multimodal backbones can be adapted to robot action prediction.,Whether semantically similar tokens preserve distinctions between physically different motor commands.,http://arxiv.org/abs/2411.00508
86,JUICER: Data-Efficient Imitation Learning for Robotic Assembly,2024,multimodal physical perception,"Improve embodied-agent perception, learning, control, or physical reasoning.","Task-specific representation, policy, dataset, benchmark, or planning method.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Contributes background methods that constrain claims about general embodied intelligence.,Whether the method treats motor-command identity as preserved through learned representations.,http://arxiv.org/abs/2404.03729
87,Artificial Intelligence and the Future of Surgical Robotics,2019,multimodal physical perception,"Improve embodied-agent perception, learning, control, or physical reasoning.","Task-specific representation, policy, dataset, benchmark, or planning method.",- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization; benchmark action ontology,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token; simulator discretization hides real actuator non-identifiability,Contributes background methods that constrain claims about general embodied intelligence.,Whether the method treats motor-command identity as preserved through learned representations. Tactile/contact cues may expose aliases that vision-language tokens miss.,https://doi.org/10.1097/sla.0000000000003262
88,RoboNurse-VLA: Robotic Scrub Nurse System based on Vision-Language-Action Model,2025,vision-language-action robot foundation models,Scale robot control by reusing vision-language representations for language-conditioned manipulation.,Tokenized or transformer-conditioned policy maps multimodal context to robot action outputs.,- The chosen action interface is sufficiently expressive for the physical task. - Different motor commands that matter downstream remain separable after tokenization or latent encoding. - Dataset labels reveal the action distinctions needed at deployment.,embodiment calibration; low-level controller semantics; action binning or policy-head parameterization,physically distinct commands collapse to one representation; rare contact-sensitive distinctions vanish in average success metrics; cross-embodiment transfer changes the meaning of the same token,Shows that large pretrained multimodal backbones can be adapted to robot action prediction.,Whether semantically similar tokens preserve distinctions between physically different motor commands.,https://doi.org/10.1109/iros60139.2025.11246030
